,timeCode,blendShapes.EyeBlinkLeft,blendShapes.EyeLookDownLeft,blendShapes.EyeLookInLeft,blendShapes.EyeLookOutLeft,blendShapes.EyeLookUpLeft,blendShapes.EyeSquintLeft,blendShapes.EyeWideLeft,blendShapes.EyeBlinkRight,blendShapes.EyeLookDownRight,blendShapes.EyeLookInRight,blendShapes.EyeLookOutRight,blendShapes.EyeLookUpRight,blendShapes.EyeSquintRight,blendShapes.EyeWideRight,blendShapes.JawForward,blendShapes.JawLeft,blendShapes.JawRight,blendShapes.JawOpen,blendShapes.MouthClose,blendShapes.MouthFunnel,blendShapes.MouthPucker,blendShapes.MouthLeft,blendShapes.MouthRight,blendShapes.MouthSmileLeft,blendShapes.MouthSmileRight,blendShapes.MouthFrownLeft,blendShapes.MouthFrownRight,blendShapes.MouthDimpleLeft,blendShapes.MouthDimpleRight,blendShapes.MouthStretchLeft,blendShapes.MouthStretchRight,blendShapes.MouthRollLower,blendShapes.MouthRollUpper,blendShapes.MouthShrugLower,blendShapes.MouthShrugUpper,blendShapes.MouthPressLeft,blendShapes.MouthPressRight,blendShapes.MouthLowerDownLeft,blendShapes.MouthLowerDownRight,blendShapes.MouthUpperUpLeft,blendShapes.MouthUpperUpRight,blendShapes.BrowDownLeft,blendShapes.BrowDownRight,blendShapes.BrowInnerUp,blendShapes.BrowOuterUpLeft,blendShapes.BrowOuterUpRight,blendShapes.CheekPuff,blendShapes.CheekSquintLeft,blendShapes.CheekSquintRight,blendShapes.NoseSneerLeft,blendShapes.NoseSneerRight,blendShapes.TongueOut,blendShapes.HeadRoll,blendShapes.HeadPitch,blendShapes.HeadYaw
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023422512458637357,0.0,0.0,0.0,0.0,0.0,0.0,0.0006123078055679798,0.0296027772128582,0.002502617659047246,0.0005790267023257911,0.0,0.04350079968571663,0.0,0.0,0.0,0.0,0.004050099290907383,0.0006055619451217353,0.005161698907613754,0.009168170392513275,0.017992323264479637,0.012479121796786785,0.001562093966640532,0.0007248265901580453,0.02533966861665249,0.018989985808730125,0.03846634924411774,0.0,0.0,0.0015082608442753553,0.02151837944984436,0.01708151213824749,0.0,0.0,1.3316455806489103e-05,0.0,0.0,0.019934648647904396,0.021954689174890518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.008997058495879173,0.0,0.0,0.0,0.0,0.0,0.0,0.009148843586444855,0.01917458325624466,0.008524389937520027,0.0,0.01025888230651617,0.056365590542554855,0.0,0.0,0.0006245260592550039,0.0,0.08011343330144882,0.07347957044839859,0.009422184899449348,0.01598740927875042,0.0407923199236393,0.031643323600292206,0.016520395874977112,0.015034263022243977,0.028916699811816216,0.023451995104551315,0.0,0.0,0.0,0.0,0.053592879325151443,0.048817750066518784,0.03316498547792435,0.02344340831041336,0.0,0.0,0.0338742695748806,0.0854044109582901,0.08724527806043625,0.0,0.008715726435184479,0.0,0.0034309213515371084,0.0,0.0,0.0,0.0,0.0
2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.013191496953368187,0.0,0.0,0.0,0.0,0.0,0.0,0.013428444974124432,0.026196448132395744,0.004788029473274946,0.0005930524202995002,0.026629513129591942,0.0668642595410347,0.0,0.0,0.0016625833231955767,0.0,0.0787358433008194,0.07501819729804993,0.006396138574928045,0.01195618323981762,0.025375552475452423,0.01905953884124756,0.016237011179327965,0.015373381786048412,0.003578568808734417,0.018385428935289383,0.0,0.0,0.0,0.0,0.04328754544258118,0.04079790040850639,0.012282708659768105,0.004386461805552244,0.0,0.0,0.046885740011930466,0.10625915229320526,0.10877670347690582,0.0007300479337573051,0.007664446718990803,0.0,0.003030437743291259,0.0,0.0,0.0,0.0,0.0
3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01487237960100174,0.0,0.0,0.0,0.0,0.0,0.0,0.015229621902108192,0.04531344398856163,0.0001031941719702445,0.0003725791466422379,0.08402944356203079,0.07679260522127151,0.0,0.0,0.002821860369294882,0.0,0.0718572661280632,0.06837795674800873,0.002091609174385667,0.006376900710165501,0.015137153677642345,0.011162837035953999,0.015598206780850887,0.014803831465542316,0.0,0.018335402011871338,0.0,0.0,0.0,0.001452821190468967,0.04871205613017082,0.04614270478487015,0.005184920970350504,0.0,0.0001721867884043604,0.0,0.04910782352089882,0.11115618050098419,0.1140161082148552,0.0027594787534326315,0.006342615466564894,3.834204107988626e-05,0.0034121789503842592,0.0,0.0,0.0,0.0,0.0
4,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.015067702159285545,0.0,0.0,0.0,0.0,0.0,0.0,0.01546843908727169,0.07454106211662292,0.0,0.004097231198102236,0.18923255801200867,0.07056550681591034,0.0,0.0,0.003687628312036395,0.0001587753213243559,0.06562910228967667,0.06123236566781998,0.0,0.003282650141045451,0.015013539232313633,0.012370992451906204,0.016018489375710487,0.0150629673153162,0.0,0.017736751586198807,0.0,0.0,0.0,0.0031707051675766706,0.07549028843641281,0.07247322052717209,0.005849848967045546,0.0,0.0005521911662071943,0.0,0.046448446810245514,0.11165594309568405,0.11454468965530396,0.0035024431999772787,0.011532454751431942,0.006422868929803371,0.005340186413377523,0.0014519054675474763,0.0,0.0,0.0,0.0
5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.014414951205253601,0.0,0.0,0.0,0.0,0.0,0.0,0.014832922257483006,0.09933771938085556,0.0,0.006745280232280493,0.25516214966773987,0.05912322551012039,0.0,0.0,0.004529046826064587,0.00036105685285292566,0.05559834465384483,0.05144235119223595,0.0007384444470517337,0.00331689789891243,0.01498489547520876,0.01398838497698307,0.015501737594604492,0.014614581130445004,0.0,0.014507177285850048,0.0,0.0,0.0,0.005654207430779934,0.09633889049291611,0.09356053918600082,0.0069580525159835815,0.0007886128732934594,0.0009636586182750762,0.0,0.04043172672390938,0.10672324150800705,0.10951966792345047,0.004416699055582285,0.010911742225289345,0.006596826482564211,0.006222641561180353,0.002288695191964507,0.0,0.0,0.0,0.0
6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01341051422059536,0.0,0.0,0.0,0.0,0.0,0.0,0.013873262330889702,0.11290028691291809,0.0,0.00740064075216651,0.278401255607605,0.04459096118807793,0.0,0.0,0.00510373804718256,0.0001561839453643188,0.04823599383234978,0.044166725128889084,0.002291447948664427,0.0044488986022770405,0.01586482860147953,0.01538396067917347,0.015241225250065327,0.014379232190549374,0.0,0.010712441988289356,0.0,0.0,0.0,0.008323997259140015,0.10460259020328522,0.10107296705245972,0.015518014319241047,0.010266813449561596,0.0017505884170532227,0.0005380064249038696,0.033824365586042404,0.10035742819309235,0.10327774286270142,0.00210253125987947,0.005298996344208717,0.001668096287176013,0.00826005544513464,0.004731486551463604,0.0,0.0,0.0,0.0
7,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.012174438685178757,0.0,0.0,0.0,0.0,0.0,0.0,0.012728557921946049,0.10403548926115036,0.0,0.004239358007907867,0.20526747405529022,0.04723460227251053,0.0,0.0,0.004009262192994356,0.0,0.03852197155356407,0.036305755376815796,0.0036276932805776596,0.006640811916440725,0.014239855110645294,0.012992900796234608,0.0133815323933959,0.012789654545485973,0.015503774397075176,0.010771001689136028,0.0,0.001613701693713665,0.0,0.0069282143376767635,0.10025980323553085,0.096102274954319,0.010796879418194294,0.006432378198951483,0.0029197707772254944,0.0015701651573181152,0.027549665421247482,0.09400434792041779,0.09701190888881683,0.003476606449112296,0.0028910075780004263,0.0,0.0030451396014541388,0.0,0.0,0.0,0.0,0.0
8,0.26666666666666666,9.487659553997219e-06,0.0,0.0,0.0,0.0,0.0,0.010924811474978924,0.0,0.0,0.0,0.0,0.0,0.0,0.011492078192532063,0.1011965423822403,0.0008383357198908925,0.0018306724959984422,0.16303905844688416,0.05814865976572037,0.024942247197031975,0.0,0.0030832523480057716,0.0,0.032851509749889374,0.029875779524445534,0.009783041663467884,0.012689366936683655,0.01447894424200058,0.013056272640824318,0.011905006133019924,0.01110778097063303,0.017999820411205292,0.0075759016908705235,0.0,0.006434553302824497,0.0,0.00656438572332263,0.1053856760263443,0.10089784860610962,0.007821894250810146,0.002011463511735201,0.002018231898546219,0.0006777867674827576,0.023646095767617226,0.0906214639544487,0.09350179880857468,0.005726727191358805,0.0029958831146359444,0.0,0.002094093943014741,0.0,0.0,0.0,0.0,0.0
9,0.3,0.00010503274825168774,0.0,0.0,0.0,0.0,0.0,0.0098151545971632,0.0,0.0,0.0,0.0,0.0,0.0,0.010394955985248089,0.10153672099113464,0.003018744057044387,0.0006300538661889732,0.13192884624004364,0.060265593230724335,0.07054128497838974,0.0,0.0026276258286088705,0.0,0.036059826612472534,0.031796183437108994,0.015586556866765022,0.018961112946271896,0.022722424939274788,0.020387286320328712,0.012188713997602463,0.011029358021914959,0.01920420676469803,0.0027035819366574287,0.0,0.01643941178917885,0.0,0.006595104467123747,0.12771067023277283,0.12278103083372116,0.018993591889739037,0.010193128138780594,0.001151029602624476,0.0,0.022248243913054466,0.0889892727136612,0.09178083389997482,0.005499307531863451,0.005050125066190958,0.0,0.0026312884874641895,0.0,0.0,0.0,0.0,0.0
