,time_code,emotion_values.disgust,emotion_values.joy,emotion_values.grief,emotion_values.outofbreath,emotion_values.pain,emotion_values.anger,emotion_values.amazement,emotion_values.cheekiness,emotion_values.sadness,emotion_values.fear
0,0.03331249952316284,0.0,0.0239120926707983,0.0,0.0,0.21000000834465027,0.01235708687454462,0.21000000834465027,0.0,0.0,0.2245783805847168
1,0.06662499904632568,0.0,0.040650561451911926,0.0,0.0,0.1469999998807907,0.021007047966122627,0.1469999998807907,0.0,0.0,0.1717832386493683
2,0.10000000149011612,0.0,0.05236748605966568,0.0,0.0,0.10290000587701797,0.02706201933324337,0.10290000587701797,0.0,0.0,0.1348266452550888
3,0.13331249356269836,0.0,0.06056933477520943,0.0,0.0,0.07203000038862228,0.03130050003528595,0.07203000038862228,0.0,0.0,0.10895702987909317
4,0.1666249930858612,0.0,0.06631062924861908,0.0,0.0,0.05042099952697754,0.03426743671298027,0.05042099952697754,0.0,0.0,0.09084829688072205
5,0.20000000298023224,0.0,0.07032953202724457,0.0,0.0,0.03529469668865204,0.036344293504953384,0.03529469668865204,0.0,0.0,0.07817219197750092
6,0.23331250250339508,0.0,0.07314276695251465,0.0,0.0,0.024706289172172546,0.037798091769218445,0.024706289172172546,0.0,0.0,0.06929890811443329
7,0.26662498712539673,0.0,0.07511202991008759,0.0,0.0,0.017294401302933693,0.03881575167179108,0.017294401302933693,0.0,0.0,0.06308761239051819
8,0.30000001192092896,0.0,0.07649051398038864,0.0,0.0,0.012106080539524555,0.03952810913324356,0.012106080539524555,0.0,0.0,0.058739710599184036
9,0.3333125114440918,0.0,0.07745544612407684,0.0,0.0,0.008474256843328476,0.04002676159143448,0.008474256843328476,0.0,0.0,0.05569617450237274
10,0.36662501096725464,0.0,0.07813090831041336,0.0,0.0,0.005931979510933161,0.04037582129240036,0.005931979510933161,0.0,0.0,0.053565699607133865
11,0.4000000059604645,0.0,0.13096335530281067,0.0,0.0,0.004152385517954826,0.04314218461513519,0.004152385517954826,0.0,0.0,0.03802386671304703
12,0.4333125054836273,0.0,0.16794605553150177,0.0,0.0,0.0029066698625683784,0.04507863521575928,0.0029066698625683784,0.0,0.0,0.02714458853006363
13,0.46662500500679016,0.0,0.19383396208286285,0.0,0.0,0.0020346688106656075,0.046434152871370316,0.0020346688106656075,0.0,0.0,0.01952909305691719
14,0.499937504529953,0.0,0.2119555026292801,0.0,0.0,0.0014242681208997965,0.04738301783800125,0.0014242681208997965,0.0,0.0,0.01419824454933405
15,0.5333124995231628,0.0,0.22464056313037872,0.0,0.0,0.0009969876846298575,0.04804722219705582,0.0009969876846298575,0.0,0.0,0.010466651991009712
16,0.5666249990463257,0.0,0.23352010548114777,0.0,0.0,0.0006978914025239646,0.04851216450333595,0.0006978914025239646,0.0,0.0,0.007854536175727844
17,0.6000000238418579,0.0,0.23973578214645386,0.0,0.0,0.0004885239759460092,0.048837628215551376,0.0004885239759460092,0.0,0.0,0.006026056129485369
18,0.6333125233650208,0.0,0.24408675730228424,0.0,0.0,0.0003419667773414403,0.04906545206904411,0.0003419667773414403,0.0,0.0,0.00474611995741725
19,0.6666250228881836,0.0,0.24713245034217834,0.0,0.0,0.0002393767354078591,0.04922492429614067,0.0002393767354078591,0.0,0.0,0.0038501645904034376
20,0.699999988079071,0.0,0.2492644190788269,0.0,0.0,0.0001675637176958844,0.04933655634522438,0.0001675637176958844,0.0,0.0,0.0032229956705123186
21,0.7333124876022339,0.0,0.25075680017471313,0.0,0.0,0.00011729459947673604,0.04941469803452492,0.00011729459947673604,0.0,0.0,0.0027839774265885353
22,0.7666249871253967,0.0007426440133713186,0.264371395111084,0.0,0.0,8.210622036131099e-05,0.035318683832883835,8.210622036131099e-05,0.0,0.0,0.001948784221895039
23,0.800000011920929,0.0012624947121366858,0.2739016115665436,0.0,0.0,5.747435352532193e-05,0.025451475754380226,5.747435352532193e-05,0.0,0.0,0.0013641489204019308
24,0.8333125114440918,0.0016263901488855481,0.280572772026062,0.0,0.0,4.0232043829746544e-05,0.018544429913163185,4.0232043829746544e-05,0.0,0.0,0.0009549042442813516
25,0.8666250109672546,0.0018811171175912023,0.28524255752563477,0.0,0.0,2.8162432499811985e-05,0.013709497638046741,2.8162432499811985e-05,0.0,0.0,0.0006684329709969461
26,0.8999375104904175,0.002059425925835967,0.2885114252567291,0.0,0.0,1.9713701476575807e-05,0.010325044393539429,1.9713701476575807e-05,0.0,0.0,0.0004679030680563301
27,0.9333124756813049,0.002184242242947221,0.29079964756965637,0.0,0.0,1.3799591215502005e-05,0.007955927401781082,1.3799591215502005e-05,0.0,0.0,0.00032753212144598365
28,0.9666249752044678,0.002271613571792841,0.29240137338638306,0.0,0.0,9.659714123699814e-06,0.0062975455075502396,9.659714123699814e-06,0.0,0.0,0.00022927249665372074
